SRR1554534,SRR1554535,SRR1554536,SRR1554537,SRR1554538,SRR1554539,SRR1554541,SRR1554556,SRR1554561,SRR1554566,SRR1554567,SRR1554568,geneID
79,150.99997,25.00005,158.60919,127.29441,104.055486,167.15112,140.03616,117.00005,85.08531,106.00002,90.02816,ABCA17P
22206.4090221975,26710.417444131,2059.11664018622,7196.09387004897,7423.113201896,16287.6579901962,7844.09247,67134.01104,27649.0349707663,6043.00509673131,6114.00794509889,5451.04058,ABCA2
6807.00253,5807.00453,1095.00012,8333.98118,8984.9872,6226.99993,11760.04173,7294.00289,11276.9961,6209.9893,7830.00181,5391.99971,ABCA3
33.999959,38.000016,18.999995,16.999967,36,23.000023,73.00004,23,62.000002,354.00031,51.99997,27.99996,ABCA4
923.83567,1809.13276,213.00003,1386.16127,1455.25779,2490.99107,3325.15755,2263.38948,1426.92657,414.321115,1473.6483312,604.7913901,ABCA5
40.34632,72.258941,26.116872,76.861224,123.18194,93.4529158,105.7333767,146.66845,58.15512,66.6461,112.02077,73.41533,ABCA6
674.99990646,678.00032,100.99996,427.99995,222.000047,561.99971,251.99974,785.00006,1086.000052,1280.99924,187.0003,707.9998564,ABCA7
550.00806,1766.73383,218.05809,48.52483,113.54024,1003.58437,274.16151,5476.58492,654.07452,86.23956431,463.62997,119.6378,ABCA8
233.48447,453.33688,337.70878,280.12237,477.67619,553.93199,754.56747,514.38739,425.8252,292.46202,514.52638,372.42468,ABCA9
636.97904,733.99929,659.00009,246.99957,360.00034,784.9995420939,513.00072,1481.94721,523.97295,322.99949,304.99968,191.99966,ABCB1
256.00032,751.00049,152.00043,1003.00023,1347.2131,523.0001,1675.9985,768.9996,378.00037,1359.9913,1941.9902,1094.9988,ABCB10
8.60808,2.693133,0,0.0001244724,0,8.16519,0,0,0,0,0,0.999999,ABCB10P1
2.25407,0,0.999909,0.999876,2.66927,0,1.33143,10.107,5.62352,0,0,0,ABCB10P3
0.0001004413,4.28792,9.13926e-05,0,0,15.1913,1.431591e-05,0,0.000401705,0,5.59836,4.19147,ABCB10P4
6,4.000004,0,8,23.00001,5,6,2,0,30.000001,37.00003,35.99999,ABCB11
9.02157,7,7,81.99999,55.99999205,23,23.99996,19.052631,17.0275764,221.00001,111.99997,134.99999405,ABCB4
11.04322,7.06173,2,12.08733,34.4688,13.0054,115.987271,12.25984,15.27041,20.30373,58.34476,23.90298,ABCB5
896.32815,1267.85956,236.12396,2598.64218,2319.32467,951.66587,1842.08642,1248.69658,1435.14048,2239.8099,2305.73522,1988.96058,ABCB6
178.9999,302.9999,97.99999,1035.000006,1241.9994,282.00041,941.00014,467.99965,157.99992,1066.00043,914.00032,1053.00031,ABCB7
1219.66691240562,1308.93762281,387.07706,3271.81023,2910.895522,1186.54491,2704.66022,1844.42129,1887.10453,2999.07876,2583.27783,2218.72241,ABCB8
1132.31350406943,1031.74537002682,260.166268916,1795.84126,1950.40117,1024.9425112583,1511.37332,1256.3958,1612.47816,1287.89776004822,1638.93111,1036.95088,ABCB9
522.00029,403.0187,66.00002,1850.09974,1726.46623,541.00008,1620.14767,658.24322,932.99955,1142.01542,1551.0166,1072.0445,ABCC1
722.96085,884.44436,159.09166,2835.88192,3098.9196,815.93165,2828.04572,1071.64643,1206.37813,2395.99589,2364.44182,1803.34701,ABCC10
27.073405326,51.257267325,18.11138,37.13178,26.608563439,24.98384433,29.112118142,47.6876312703,37.0598403,31.44813,29.766843587,12.102601011,ABCC11
246.9998,260.99958,47.00001,17,20.99997,456.99994,31.99997435858,262.99966,385.00019,10,75,6,ABCC12
2,8.38546,5,7.09592,15.09398,9.16157,16.07555,6.05064,2,15.01498,9.09541,12.1329,ABCC13
5.13978,18.15896,1,15.42804,65.17232,7.05601,32.51589,33.12709,12,45.35185,43.05671,48.23913,ABCC2
33.4875093732,69.42641095818,9.045611,29.73838,29.96649,58.163743,30.69116,59.772410546515,80.01258,22.65393,35.33367066836,21.61629851752,ABCC3
55.138595596,104.206943,73.46808,402.44158,592.49605,112.92674,422.89198,177.65779,42.99995,1294.31392,541.08921,675.52334,ABCC4
2849.05002,3428.99713,649.99959280692,8002.017,10105.6718,4160.03465,8929.53093,4635.01101,4874.99702,6609.08492090679,8621.3201,7322.44252,ABCC5
41.0611,33.55595,13.45442,115.10714,112.14252,18.03471,99.32834,43.43277,34.197667,78.66089,103.15161,70.98022,ABCC6
20.75787,5.5019,11.70292,1.274,1,23.46691,5.08387,30.7242,10.76484,6.26923,6.56221,2.33522,ABCC6P1
1.13072,3.64553,2.53071,0.898873,0,3.44792,1,1.06057,4,1,3.52539,1.918452,ABCC6P2
1860.99982,1694.99927,235.99959604173,989.99993,868.00038,1883.99909,1208.000388,1810.99992,3533.99167,345.99981,799.99932,348.00005,ABCC8
455.7745,721.5221,429.57102,736.5089,1341.3004,482.95145,1263.52997,1056.61445,379.593,657.69237,915.15043,608.91051,ABCC9
166.99952,165.99965,61.00001,456.00035,500.9998,99,372.999714,244.99968,205.99956,534.0003,548.0004,388.0001,ABCD1
0,0,0,0,0,0,0,0,0,0,0,0,ABCD1P2
0,0,0,0,0,0,0,1,0,0,0,0,ABCD1P3
0,0,0,0,0,0,0,0,0,0,0,0,ABCD1P4
0,0,0,0,0,0,0,0,0,1,0,0,ABCD1P5
304,794,347,598,695,828,1099,800,348,1228,969,1138,ABCD2
710.99953,1606.00367,664.00032,3520.57301,4656.9356,1260.00138,4430.6409,2628.09842,879.12142,4207.42366,4261.95853,3148.6806,ABCD3
643.33639,831.15893,297.523667,2803.38119,4295.60263,589.55725,2287.23363,1708.3742840408,1174.2238,5565.14237,3866.44456,3569.9434,ABCD4
733.01648,1662.08402,276.00256,3440.04842,4166.2829,1591.31599,4919.89987,2584.54155,992.03989,4048.02192,4217.0725,3371.8141,ABCE1
1571.183651,1741.3792984425,352.000168,3448.2938873,3813.98250043526,1556.7301118,3749.70131922533,2338.71729314981,2121.46411772,5411.21967,3824.11894261722,3374.07417,ABCF1
1537.27154,1855.82267,395.03435,2566.7967,2365.7013,1880.03191,2786.8262,2241.6279,2243.1896,2733.7456,2431.8236,2066.5935,ABCF2
0,0,0,0,0,2,0,1,1,0,0,0,ABCF2P1
0,0,0,0,4,0,1,0,0,0,2,0,ABCF2P2
1884.0034,2050.87037,381.00006,2190.995924,2587.46964133689,1865.50022,2233.43285,2423.33183,2709.50782,3310.00331,2562.5109226508,1977.99864,ABCF3
343.24495,439.10597,119.08867,446.59586,743.64596,518.6132638254,641.4408,1133.9074,714.34207,402.569,610.79022,458.3611,ABCG1
764.00023,1230,1250.9988,448,659.99991,1056.9988,1056.0002,2223.0016,638.9999,419.99972,667,246.99947,ABCG2
968.99969,940.00049,93,321.9999,545.00033739018,882.00085,850,848.99972,1381.9997,331.0003,514.9995,408.999923,ABCG4
24.0603,26.00002,6,16.40347,24.9022,32.00246,38.57843,26.0388,28.29738,15.7691,28.43058,20.94456,ABCG5
23,26,5,6,16,38,39,22,41,15,13,10,ABCG8
37.252866,49.39602,45.61309,62.78723,86.90886,24.442,71.4137,75.20517,42.25219,56.1803,78.054499,56.003098,ABHD1
583.99968,1684.99938,311.99989,1757.9949,1976.0003,1308.0001,2145.004,1741.9988,845.9995,1701.9998,1996.0038,1589.999,ABHD10
296.05242942,327.08395,138.08076,167.605728,215.09866,245.48848,215.88905,365.67207,366.71016,255.743835,232.08371,178.34716,ABHD11
2921.9977,3751.99746,793.99964,1450.99988,1233.00026,2883.99843,1818.00459,4193.99534,3649.99748,1448.99882536806,1626.00226,938.99997,ABHD12
172.36445,342.47277,24.88542,100.7865,171.6018,327.08754,126.6477,346.49083,258.6922,77.495,154.1165,73.25525,ABHD12B
266,647,128,1060,1159,786,1343,876,424,826,1178,731,ABHD13
650.1213,797.9689,235.0435,597.8364,498.68668,621.4143,693.9046,910.0025,891.4524,307.05473,519.93715,334.1367,ABHD14A
24.54215164111,76.04207,1.04771,114.9792,75.1883,57.28658,79.0775,44.51242,109.6282,73.6706,72.94837,44.3337,ABHD14A-ACY1
277.00027,310.99964,200.99999,242.99947,215.90605,225.00004,273.6926,444.0002,318.9996,279.9997,314.9996,223.0001,ABHD14B
93.2912,143.227,54.2777,63.0814,82.5892,66.6523,40.0415,158.193,93.6729,105.139,58.0028,64.1179,ABHD15
1205.99950100234,1402.79333384673,355.999656,2995.948423064,2968.93175465623,1250.8605605049,2120.83880135291,1785.503803,1835.7277246741,3548.867069,2800.64856111454,2663.4391768,ABHD16A
193,193,43,122,127,145,73,170,255,248,167,151,ABHD16B
4116.31812,4050.24243,1519.91376,2726.61635,2841.27264,2869.86069,2575.64528,4497.42207,6209.3632,3419.71968,2858.21333,2349.92222,ABHD17A
2.36908,2.26986,0,3.25391,9.68944,5.50538,3.35177,3.29542,10.5183,12.2263,7.68975,1.07422,ABHD17AP1
4.03169,1.00573,1.00639,2.0214,1.01981,0,0,0,2.01135,3.05749,1.01173,0,ABHD17AP3
1.07879,1.64261,1.07786,0,0,4.24064,0,2.25518,23.2389,0,1.08949,0,ABHD17AP4
5.08006,10.3437,0,5.08877,1.01621,19.3913,0,1.0237,80.9233,0,0,0,ABHD17AP6
0,0,0,0,0,0,0,0,0,0,0,0,ABHD17AP9
356.45,1082,159.6557,1566.774,1808.514,728.781,2238.797,2284.252,548.049,1284.117,1778.359,1339.732,ABHD17B
350.0003,753,349,906.99985,1396.00274,560,1835.99628,684.99955,462.9998,2078.99837,2008.0018,1569.0027,ABHD17C
2940.848316,3028.9762,1458.76123,7269.25,9840.4258,5055.30064,10811.1504,5513.92523719126,5848.7674473382,5672.12897,7536.1712,6360.8601500567,ABHD2
128.045322,387.02086,190.0003,545.15824,645.5951,149,223.45399,390.1932,168.04101,967.13746,518.35481,783.28662,ABHD3
296.99981,416.99969,397.99987,333.00002,846.00017,218.99972,382.00004,718.00039,324.99956,767.00046,862.99969,622.00006,ABHD4
94.99998,216.00049,102.00018,386.04046,610.99993,142.00002,534.04034,395.9998,148.99996,356.00043,427.04104,295.00026,ABHD5
815.39479,1396.23796,198.0002,1438.32667,1300.19765,1100.59454,1345.19414,2272.40345,1214.03765,1712.6492,1360.73311,1049.4018,ABHD6
3017.19,2663.53,748.585,1235.40727,1075.99213,2279.91561,1386.13719,2521.92995,4876.69078,1156.0428,1173.99901,938.25748,ABHD8
1692.99940073939,3178.96577231,953.78371,2571.3008,3417.377388528,2585.8903,3551.2218,2979.9987,2555.99910502342,2027.18883,3454.22224003033,2132.865,ABI1
5130.39804,7493.47042,2025.21596,18997.17429,21056.99916,11890.25016,29819.73763,10418.61719,8556.03642,13283.39255,20018.76689,14127.19806,ABI2
45,32.00003,18.00003,20,39,14.99996,17.00002,59.00004,22,36,19.99999,19.99996,ABI3
32.00025,101.004733,40.000055,582.255645316,770.182500691801,98.002587,703.00796876,147.007136,64.000017,159.000636,700.56894,413.069256,ABI3BP
1814.004,1834.99887,804.00007,6432.9959,8863.99734,1260.001696,5356.9986,4091.996,2436.001,9954.00343,7211.0026,7740.0009,ABL1
832.610790144391,1013.84527,193.0393,4526.08473,6070.23838,1570.64421,7000.94455,1843.78937,1356.15619125201,3382.96573,4959.3051,3377.9103,ABL2
4158.90126,6243.55851,3048.92987,9875.97232,8247.80753011438,5953.02013,20419.7485234964,7664.26423,5467.97128,3435.29815,8450.78872,3280.27732,ABLIM1
3475.00094,2702.99941,341.0003952587,610.0007882615,517.00061915,3109.0001,1082.99959,2781.00083040923,5512.9984,456.999445482021,589.00008,333.9995987,ABLIM2
1289.00012,1305.00099,393.99985,1422.00078024003,2412.00187,1497.00014,3194.9975,1882.0006,2042.99963,2476.99957,3060.99834089827,1919.99792,ABLIM3
48.13466,98.5013,91.018004,97.8102,154.99772,87.109,182.60416,118.30876,41.00478,78.4379,103.523,86.7832,ABO
19269.2178047162,17644.8961356109,5401.95595464835,18593.9865707572,17745.571510934,20791.7098590284,21109.1345081118,19080.8805304477,34445.6980458622,15893.308064,18288.7711222086,12527.650462323,ABR
12,11.0108,0,9.0333,24.2255,9,14.0197,18.0209,15,15.0465,20.0735,7.03394,ABRA
154,383,66,1270.9968,1237.0031,322.00041,1185.999,386,243.99957,1897.0016,1349,1501.0042,ABRACL
385,377,119,632,581,297,461,437,426,638,559,476,ABT1
0,0,0,4,1,0,3,0,0,0,1,0,ABT1P1
2456.999,2819.99967,674.99886,807.99949,1445.00096,2484.00018,1120.0008,2985.99973,4183.9983,2168.99938,1144.00018,1685.99938,ABTB1
369,496,153,1089,1338,288,340.00016,1081,480,2238,778,1515,ABTB2
55,99,10,119,105.997,120,192.999,137,76,22,126,68,AC000041.10
0,0,1.7395,6.2662,0,0,0,0,0,0,1.21214,0,AC000041.8
0,0,0,0,0,0,0,0,0,0,0,0,AC000077.2
2,8,0,9,13,14,11,15,11,6,13,2,AC000078.5
0,0,0,0,0,0,2,0,0,0,1,0,AC000081.2
0,0,0,0,0,0,1.00035,2.00048,0,1.00004,1.00078,0,AC000089.3
198,139,9,277,399,347,481,213,371,263,267,260,AC000095.9
0,0,0,0,1,0,0,1,0,0,0,0,AC000110.1
0,1,0,0,0,0,0,0,0,0,0,0,AC000111.4
0,0,0,0,0,0,0,0,0,0,0,0,AC000111.5
0,0,0,0,0,0,0,0,0,0,0,0,AC000362.1
19,15,1.39014,77.2881,115.991,26.0107,122.054,43.2627,8,72.1521,79.5982,61.5146,AC000367.1
1,0,0,0,0,0,0,0,0,0,0,0,AC000374.1
0.218777,532.479089,0,7.92932e-06,0.575716,97.14657,0.0693477468,712.87500398046,162.177,0,82.2375,0.000159951,AC001228.1
0,0,0,0,609.423805,9.84159,52.797,0.969252,0,1407.99,45.436627,0,AC001228.2
0,0,0,0,0,0,0,0,0,0,0,1,AC001228.3
0,0,0,0,0,0,0,0,0,0,0,1.03897,AC002056.3
0,0,0,0,0,1,0,0,0,0,0,0,AC002069.5
0,0,0,0,0,0,0,0,0,0,0,0,AC002069.6
0,0,0,0,0,0,0,0,0,0,0,0,AC002075.3
0,0,0,0,0,0,0,0,0,0,0,0,AC002075.4
